"洗衣机智能投放的地方关不紧，推到底卡住过半小时就有一条缝出来，正常吗
刚用一周不到",你好非常抱歉给您添麻烦了，请通过海尔服务报修由服务人员上门调整，谢谢
进出水开关为什么用电镀塑料？因老化而碎裂，即时用金属也得优质的，与海尔品牌太不相符，需免费更换！,尊敬的用户您好！给您添麻烦了！根据您反馈的问题，由于不在现场无法鉴定具体原因，建议通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解答，紧急情况可直接致电4006999999，希望可以帮到您！
冰箱不太冻，调到几就冻的厉害呢,您好，如果是直冷冰箱，数字越到表示温度越低，制冷越强。谢谢
E6,尊敬的用户您好，很抱歉给您添麻烦了，根据您描述的情况可能是传感器故障，由于不在现场无法鉴定具体原因，建议通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解答，或者直接致电4006-999-999，希望可以帮到您！
洗衣机显示不甩干是啥状态,你好非常抱歉给您添麻烦了，请通过海尔服务报修由服务人员上门检测具体原因，谢谢
冰箱压缩机工作状态时候噪音太大，盼解决," 	您好，刚开始使用冰箱声偏大，另外正常运行过程中，会产生开停声音，属于正常现象。若对声音有其它问题，建议您报修处理！！ "
烘桶不会转是怎么了,你好非常抱歉给您添麻烦了，滚筒洗衣机有一个偏心保护功能，如果衣物偏心机器为了避免振动大，会自动保护不运行高速脱水，直到桶内衣物平衡均匀后再脱水，详细信息参考说明书给用户耐心指导：1：滚筒洗衣机脱水时离心方式与波轮洗衣机完全不同（因单件衣物脱水衣物距离离心力轴心），2：举例双桶洗衣机和波轮全自动洗衣机如衣物偏心不平衡会出现振动大撞桶问题，而滚筒洗衣机的偏心保护就是为了更好的保护洗衣机避免震动大设计的，3：目前市面上所有滚筒洗衣机都具备偏心保护功能。或请通过海尔服务报修由当地售后人员上门指导处理，谢谢
刚买的滚桶洗衣机甩干时声音特别大震动非常厉害,您好，给您添麻烦了，这个问题原因有很多，具体请微信报修让服务人员上门检查，紧急情况请拨打客服4006999999，谢谢
连上网络就是放不出来怎么回事,你好：抱歉给您添麻烦了！请断开网络关机重启观察，日常有服务需求，建议通过海尔服务微信号或APP快速维修等版块提报服务需求。紧急情况可致电4006999999
买的海尔无线电视为什么每次开机都要重新连接无线网,你好：你所反映问题，要把无线路由器设置，设备连接后自动连接，电视如网络设置打开wifi就可连接。
滚筒智能投放每次开洗都要设置吗?还是只设置一次每个程序都可以使用？洗涤时智能设置中的图标是该亮着吗?,每个程序只要设置一次就可以记住，智能投放你选择了就有，不选择就没有
为什么滚筒洗衣机定的是脱水，反而和没脱水一样呢,你好非常抱歉给您添麻烦了，这个属于偏心保护功能导致，详细信息请参考说明书第八项其他功能介绍，或通过海尔服务报修由当地售后人员联系指导处理，谢谢
我的电视老是出现滋滋的声音,你好：抱歉给您添麻烦了！根据您提供的信息初步判断信号不良从电视扬声器发出，换个频道或信号源输入观察，仍无改善的，建议您通过海尔服务微信号或APP快速维修等版块提报服务需求。紧急情况可致电4006999999
怎么,
冰箱冷藏室下方中间出水口二侧，在冷藏室下水孔没有堵塞的情况下，为什么总是结冰块？谢谢！,尊敬的用户您好！给您添麻烦了！根据您反馈的问题，由于不在现场，无法准确判定或调试，建议您通过海尔服务微信服务号或APP报修，让专业人员给您调试或维修，紧急情况可直接致电4006999999
,尊敬的用户您好，您没有说明您具体是遇到了什么问题噢，   如您遇到了您自己处理不了的问题可通过海尔服务微信服务号或APP报修，紧急情况可致电海尔全国售后服务热线4006-999-999咨询，希望我的回答能够帮到您o(∩_∩)o…
我发觉我倒入洗衣液漕的洗衣液为什么不少掉的，好象每次洗衣服都没用掉一样，柔顺剂也一样,您好，给您添麻烦了，这个问题原因有很多，具体请微信报修让服务人员上门检查，紧急情况请拨打客服4006999999，谢谢
今天用滚筒洗衣机烘干，洗衣很顺利！可烘干永远无法结束！做饭前看还差15分，饭做好了，还差12分，我都懵了,您好，给您添麻烦了，这个问题原因很多，具体请微信报修让服务人员上门检查，谢谢
海尔燃气热水器的二次燃烧的冷凝器为什么只能用三四年？,您好，很抱歉给您带来的不便，保内请联系海尔专业售后人员上门检测处理。
热水器突然报警怎么回事？也没漏气,不知您的热水器报警显示什么或有什么声音，请参考说明书查阅，若不能解决请联系售后人员上门检测。
洗衣液咋流不下去,你好非常抱歉给您添麻烦了，首先请查看您选择洗衣的程序是否设置了洗衣机自动投放功能，请参考说明书介绍使用，或通过海尔服务报修由当地售后人员上门指导调试，谢谢
电热水器变速调节 P1是多少瓦,您好，热水器不同型号设置不同，请参阅说明书查询。
如何除箱,尊敬的用户您好！给您添麻烦了！根据您反馈的除霜问题，由于不在现场，无法准确判定或调试，建议您通过海尔服务微信服务号或APP报修，让专业人员给您调试或维修，紧急情况可直接致电4006999999
我的空调 制热 外机不启动,您好，请观察室内机故障代码显示，设定的遥控器模式是否正确，是否符合开机制热的条件，如仍有问题请通过首页一键维修进行预约我们会安排专业的服务人员上门，谢谢
发错货怎样才能换,尊敬的用户您好！给您添麻烦了！您可以联系一下销售人员具体情况，如有紧急情况可致电海尔全国售后服务热线4006-999-999咨询。
洗衣机滚筒不转什么原因？,您好，给您添麻烦了，这个问题原因有很多，具体请微信报修让服务人员上门检查，紧急情况请拨打客服4006999999，谢谢
空调远程怎么打不开,"1）请检查空调是否上电？
2）请检查是否已经将空调设置成了“开机、制冷、低风、30度”状态？
3）空调上电时间是否超过了10分钟？需要重新将空调断电再上电，并将空调设置成“开机、制冷、低风、30度”状态。
4）进入手机的WIFI网络设置，查看搜索到的路由器列表里是否有名称为Haier_uac的路由器，如果尝试多次仍然无法扫描到，请更换手机并移近家电重试，如果尝试多次仍然无法扫描到，可能模块故障，请通过首页一键维修进行预约，我们会安排专业的服务人员商盟连接"
我的海尔电视遥控器不能对上码，怎么办?,您好：抱歉给您添麻烦了！换新电池并按遥控器反面对码方法操作，仍对不上，交流关机重启再对码看看，日常有服务需求，建议您通过海尔服务微信号或APP快速维修等版块提报服务需求，紧急情况可致电4006999999
海尔家电上门维修一次费用是多少？50元吗？,你好，是的，谢谢
滚筒洗衣机甩干声音就像拖拉机一个样声音大怎么办,"尊敬的用户您好，很抱歉给您添麻烦了，根据您反馈的情况，您检查一下是不是洗衣机脚没有放平呢，或者洗涤的衣服上有金属的东西，由于不在现场无法鉴定具体原因，建议通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解答，或者直接致电4006-999-999，希望可以帮到您！
"
USB视频什么格式,您好：抱歉给您添麻烦了！电视所支持的USB视频格式，在产品说明书上都有注明，不同机芯方案，所支持的视频格式也是不同的，日常有服务需求，建议您通过海尔服务微信号或APP快速维修等版块提报服务需求，紧急情况可致电4006999999
自己在家怎样检测氟利昂漏不漏？,您好，查看外机管路等需室外作业，比较危险，建议由专业人员服务；此次请将安排当地和您联系，19:00前联系；日常如有服务需求可通过海尔服务APP-首页各版块提报服务需求。 
新买的洗衣机脱水振动很大，很响？,你好非常抱歉给您添麻烦了，1：洗衣机是否有售后人员上门安装，2：洗衣机运输包装固定螺丝是否拆下，3：洗衣机底角是否调平和锁紧，4：洗涤衣物是否过多和偏心不平衡导致，5：以上排除请通过海尔服务报修由当地售后服务人员上门检测处理，谢谢
洗衣机门为什么开不了,您好，给您添麻烦了，这个问题原因有很多，具体请微信报修让服务人员上门检查，紧急情况请拨打客服4006999999，谢谢
洗衣机烘工三十分钟，最后一分钟老不停，关掉又打不开,你好非常抱歉给您添麻烦了，导致此问题有很多种原因，请通过海尔服务报修或拨打4006999999由当地售后服务人员上门检测处理，谢谢
全自动洗衣机衣服洗完，电源怎么一直亮,你好非常抱歉给您添麻烦了，导致此问题有很多种原因，请通过海尔服务报修或拨打4006999999由当地售后服务人员上门检测处理，谢谢
刚按的海尔 热水器   每次烧水  热水器上的阀门都趟水是怎么回事,"""安全阀作用：保证内胆压力低于额定值，保证使用安全。
加热过程中内胆压力上升，当大于额定值时安全阀会泄压保护，只要是压力容器，都会有泄压装置，否则会存在使用危险。
若您对比其他用户家安全阀滴水轻，您家的滴水厉害，除安全阀本身误差外，另一个原因就是您家管路与其他家管路存在差异。安全阀在泄压前，首先会内泄至用户家管路内，用户家管路达到一定压力后，安全阀开始外泄滴水；
若您对比其他用户家安全阀不滴水，请提醒您的这位朋友，安全阀可能存在问题，请联系相关人员上门检查，否则可能存在安全隐患。""
"
单独拉个空调插座，需用多粗的电线,尊敬的用户您好，给您添麻烦了，这个需要根据空调的功率大小来确定的，一般2匹用2.5平方毫米的铜线就可以，3匹用4平方毫米的铜线；或者直接致电4006-999-999咨询一下哦，希望可以帮到您！
"kong



冰箱不制冷了，是为什么呢",尊敬的用户您好！根据您反映的冰箱不制冷问题原因有很多，由于不在现场，无法准确判断，建议您通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解答，紧急情况可直接致电4006999999
洗衣机单脱水停在了4分钟是怎么回事？,您好，给您添麻烦了，这个问题原因有很多，具体请微信报修让服务人员上门检查，紧急情况请拨打客服4006999999，谢谢
请问购买的滚筒洗衣机安装师傅没有装防溅板和毛毡，什么原因,您好，给您添麻烦了，这个请微信报修让服务人员上门安装，紧急情况请拨打客服4006999999，谢谢
空调外机噪音很大，怎么回事？,"您好，是由于室外温度过低，制热运行时间长，压缩机负荷过大所产生的，属于正常，如有特别异常的响声，可以通过首页快速维修进行报修，或拨打4006999999我们会安排专业的服务人员上门，谢谢。
"
什么也没下载  空间不足   怎么办,尊敬的用户您好！给您添麻烦了！根据您反馈的问题建议您咨询一下销售人员，由于不在现场，无法准确判定或调试，建议您通过海尔服务微信服务号或APP报修，让专业人员给您调试或维修，紧急情况可直接致电4006999999，希望可以帮到您！
热水器泄压阀总流水,"您好：""安全阀作用：保证内胆压力低于额定值，保证使用安全。
加热过程中内胆压力上升，当大于额定值时安全阀会泄压保护，只要是压力容器，都会有泄压装置，否则会存在使用危险。
若您对比其他用户家安全阀滴水轻，您家的滴水厉害，除安全阀本身误差外，另一个原因就是您家管路与其他家管路存在差异。安全阀在泄压前，首先会内泄至用户家管路内，用户家管路达到一定压力后，安全阀开始外泄滴水；
若您对比其他用户家安全阀不滴水，请提醒您的这位朋友，安全阀可能存在问题，请联系相关人员上门检查，否则可能存在安全隐患。""
"
滚筒洗衣机，洗衣的时候断电了，然后就打不开门了，怎么办？甩干的时候声音太大，而且乱动怎么回事？,"
尊敬的用户您好！给您添麻烦了！在安全状态下可以打开机门，但在温度较高的情况下门锁会自动锁门保护，此时打不开门。噪音大可能是由于里面脱水的物件不均匀，出现了旋转不匀称，所以噪音大，建议重新调整一下物件，使之均匀，这样就会缩小声音了，由于不在现场无法准确判定或调试，建议您也可以通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解答，或者直接致电4006999999，希望可以帮到您！"
我才买的海尔电视，怎么收不出台呢,您好：抱歉给您添麻烦了！请你使用有线信号进入调谐菜单自动搜台或输入机顶盒信号对盒子进行搜索，有服务需求，建议您通过海尔服务微信号或APP快速维修等版块提报服务需求，紧急情况可致电400699999
我买的是海尔冰箱BCD251WDPV，晚上发出吱吱的响声，一晚上都吵得睡不好觉，白天就没有这种声音，请问这是怎么回事？,"尊敬的用户您好！首先感谢您选择海尔产品，冰箱工作时会有一定声音，由于不知现场状况，无法判断冰箱声音是否正常，建议您通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解答，紧急情况可直接致电4006999999
"
燃气热水器排烟管烟很多正常吗？,您好，可能与气质有关，若不是此问题请联系海尔专业售后人员上门检测处理。
刚买的海尔太空舱80L热水器，温度设置到65度，为什么一个人洗澡几分钟温度就下降到40多度了，第二个人洗水都凉了,出温水时间与洗澡温度，喷头流量，自来水温度有关，根据您80L的热水器，加热洗澡水温40度，进水温度15度，出水流量8L/min，那么设定65度的情况下理论出温水时间是20分钟，每个人洗十几分钟，两个人是不够用的。若与上述差异描述比较大，请联系售后人员进行检测
电视打不开,你好：抱歉给您添麻烦了！请你检查电源插座或电源插头是否松动，如果遥控器或本控键也遥控打不开，仍无改善建议您通过海尔服务微信号或APP快速维修等版块提报服务需求，紧急情况可致电4006999999
立体空调用电是多少,"您好，室外环境温度和室内环境温度，每天随时都在变化温度，可能空调的运行时间长短受室内室外环境温度的高低，房间面积，房屋的保温效果，房屋的朝向会受到一些影响，耗电会有差异的。
"
我家全自动洗衣机盖子一定要盖好才能正常使用。刚使用放水一定要盖好才能放水。以前放水不要盖上的。我不知道什么原因！,你好非常抱歉给您添麻烦了，导致此问题有很多种原因，请通过海尔服务报修或拨打4006999999由当地售后服务人员上门检测处理，谢谢
海尔空气能热水器启动后，上面岀水囗一直在滴水是怎么回事？,你说的出水口不知是否是泄压阀口，泄压阀滴水是正常的，是为了保证内胆压力在额定压力一下，保护内胆。
发动机就跟使不上劲似的，咚咚响，是怎么回事？,尊敬的用户您好！给您添麻烦了！根据您反馈的冰箱问题，由于不在现场，无法准确判定或调试，建议您通过海尔服务微信服务号或APP报修，让专业人员给您调试或维修，紧急情况可直接致电4006999999
我买的8公斤海尔滚开机进完水后，不洗涤随后就排水，请问这是什么问题。,你好非常抱歉给您添麻烦了，请问您选择的是什么程序呢？或请通过海尔服务报修由当地售后人员上门检查处理，谢谢
每次用水都要放一会儿 厨宝装上后开始出的水是浑浊的,您好，请确认水源是否正常，另外通过水龙头放水可能会有细微气泡，放置一会儿是否变清。若不能解决您的问题，请通过海尔服务微信公众号或APP提报服务，让专业的维修人员上门排除故障，紧急情况可致电4006999999.
如何把洗衣机的波轮拆下来?,这个得需要专用的工具才行，一般螺丝刀不能操作
滚筒洗衣机10公斤洗单件衣服不脱水,你好非常感谢您选择海尔产品，这个是因为偏心保护功能导致，详细请参考说明书第八项其他功能介绍：偏心保护功能，谢谢
海尔8公斤洗衣机怎么放不进去水？我急着洗衣服呢,您好，给您添麻烦了，这个问题原因有很多，具体请微信报修让服务人员上门检查，紧急情况请拨打客服4006999999，谢谢
Wifi下浏览器无法打开,"尊敬的用户您好，抱歉给您添麻烦了！请你先换个信号源输入信号观察，仍无改善建议您通过海尔服务微信号或APP快速维修等版块提报服务需求，紧急情况可致电4006-999-999，希望可以帮到您！
"
怎么我买的冼衣机是变频的，说洗衣服不缠绕。怎么还会缠在一起,您好，给您添麻烦了，这个问题原因有很多，具体请微信报修让服务人员上门检查，紧急情况请拨打客服4006999999，谢谢
洗衣机洗衣服噪音大，是怎么回事，以前都不响的,您好，给您添麻烦了，这个问题原因有很多，具体请微信报修让服务人员上门检查，紧急情况请拨打客服4006999999，谢谢
我买了海尔（Haier）BCD-452WDPF 452升 风冷无霜冰箱，是无霜的，为什么还是出现了结冰的现象,"尊敬的用户您好！给您添麻烦了！根据您描述的冰箱冷冻结霜问题，建议您查看冷冻门封是否有闪缝现象，确认门封的密封性；如问题仍不得改善，建议您通过海尔服务微信服务号或APP报修，紧急情况可直接致电4006999999

"
我调的四十分钟，为什么在最后五分钟就停了呢，一直停留在这个时间,你好非常抱歉给您添麻烦了，滚筒洗衣机有一个偏心保护功能，如果衣物偏心机器为了避免振动大，会自动保护不运行高速脱水，直到桶内衣物平衡均匀后再脱水，详细信息参考说明书给用户耐心指导：1：滚筒洗衣机脱水时离心方式与波轮洗衣机完全不同（因单件衣物脱水衣物距离离心力轴心），2：举例双桶洗衣机和波轮全自动洗衣机如衣物偏心不平衡会出现振动大撞桶问题，而滚筒洗衣机的偏心保护就是为了更好的保护洗衣机避免震动大设计的，3：目前市面上所有滚筒洗衣机都具备偏心保护功能。或请通过海尔服务报修由当地售后人员上门指导处理，谢谢
热风怎么就出一会儿就没了,您好，空调制热效果是与环境温度、房间面积、朝向、保温情况等等相关的，单纯测试空调制热是否正常，是根据进出风口温度检测数据的温差。根据国家规定，挂机空调进出风口温差18-25度以上；柜机空调进出风口温差在18度以上均为正常范围。建议请通过首页-快速维修进行预约报修，或拨打海尔统一服务热线4006999999，我们会安排专业的服务人员上门检查维修，确保您正常使用。
空调打开，外机不运行，原因？,"您好，冬季制热时，室外机达到化霜状态下，空调自动除霜，停止运行，大约需要15分钟左右后，空调会自动重新制热。请放心使用，如机器有特别异常情况，请通过首页快速维修进行报修，或拨打4006999999我们会安排专业的服务人员上门，谢谢。
"
挂烫机电源正常就是不出蒸汽,
新买的海尔热水器，60升的，第一次用，是否可以直接洗澡？内胆干净吗？,尊敬的用户您好！给您添麻烦了！您可以阅读一下详细的产品使用说明，按照里面标注的操作步骤与注意事项进行操作，由于不在现场无法准确判断您的问题，如在使用过程中遇到您自己解决不了的问题，您可通过海尔服务微信服务号或APP报修，让专业人员给您调试或维修，紧急情况可直接致电4006999999，希望可以帮到您！
冰箱很响，就是那种风扇工作的响声，刚开始还是一时响一时又很静，现在就一直很响，这样的是什么问题啊,尊敬的用户您好！给您添麻烦了！根据您反馈的冰箱噪音大的问题，由于不在现场，无法准确判定或调试，建议您通过海尔服务微信服务号或APP报修，让专业人员给您调试或维修，或可可直接致电4006999999咨询，希望可以帮到您！
电视突然黑屏但声音正常,您好：抱歉给您添麻烦了！请你换个节目或信号源观察，如仍未有改善，建议您通过海尔服务微信号或APP快速维修等版块提报服务需求，紧急情况可致电4006999999
液晶电视怎么有声音图像老停顿卡壳,你好：抱歉给您添麻烦了！请你卸载不常用软件，尽量安装在外接TF卡上，不占用电视内存，仍无改善，建议您通过海尔服务微信号或APP快速维修等版块提报服务需求。紧急情况可致电4006999999
请问有海尔双缸洗衣机吗?,有
海尔电视主板设置的送电开机？,你好：抱歉给您添麻烦了！电视希望开主电源马上出图像，工厂调整项目中一种上电模式提醒，如需要来电上电，可以致电服务热线，人员上门把上电模式处于待机也可以的，日常有服务需求，建议你通过海尔服务微信号或APP快速维修等版块提报服务需求，紧急情况可致电4006999999
海尔波轮洗衣机的冲浪洗和消毒洗是什么原理？适合洗什么？,你好非常抱歉给您添麻烦了，请通过海尔服务报修或拨打4006999999由当地售后服务人员上门指导，谢谢
停水了该不该把电源拔掉,您好，停水时及时关闭热水器进水阀门，热水器关机（不必拔电源），来水时，先打开进水阀门，打开混合阀至热水端确认连续出水后在开机加热。
不吸尘,您好，请检查有无堵塞，如仍未有改善，建议您通过海尔服务微信号或APP快速维修等版块提报服务需求，紧急情况可致电4006999999
洗衣机一边进水，一边排水，洗衣服进水很长时间进不满,您好，给您添麻烦了，这个问题原因有很多，具体请微信报修让服务人员上门检查，紧急情况请拨打客服4006999999，谢谢
洗衣机混合洗时洗涤液不自动添加了？是怎么回事，是不是得调试啊？,你好非常抱歉给您添麻烦了，导致此问题有很多种原因，请通过海尔服务报修或拨打4006999999由当地售后服务人员上门检测处理，谢谢
我家海尔洗衣机换了个线路控制器，怎么收了380元呀？,"你好非常抱歉给您添麻烦了,请问上门人员是否出示了收费标准，或请通过海尔服务报修或拨打4006999999由当地售后服务人员上门检测处理，谢谢"
电流声太大,您好:抱歉给您添麻烦了！请你换个频道或信号源输入信号观察，仍无改善建议您通过海尔服务微信号或APP快速维修等版块提报服务需求，紧急情况可致电4006999999
海尔滚筒冼衣还没用二年，电机就坏了，请问，这是质量问题吧,"不是，任何产品都有个不良的概率，请微信报修让服务人员上门检查，谢谢
"
怎么一直漂洗不脱水,这个原因有很多，可能衣物分散不均匀，洗衣机又再次进水漂洗一次，具体请微信报修或拨打4006999999让服务人员上门检查
你好，冰箱启动声音很大时间长是怎么回事,尊敬的用户您好！给您添麻烦了！请您注意一下是否是在放置大量物品是才会出现这种情况，还是声音一直持续不间断，当在变频冰箱内置放大量物品时，冰箱需要大量制冷，此时冰箱以高频运转，此时的压缩机运转声音比较大；2）当冰箱置放物品比较稳定，冰箱制冷处于正常的维持状态，此时冰箱以低频运转，此时冰箱压缩机运转噪音一般比较小。由于不在现场，无法准确判定或调试，建议您通过海尔服务微信服务号或APP报修，让专业人员给您调试或维修，紧急情况可直接致电4006999999，希望可以帮到您！
为什么不能看直播,你好：抱歉给您添麻烦了！根据您提供的信息，所说的软件是不允许安装在电视上，如果是使用电视直播是不允许的，不单是一个品牌，是所有品牌都不允许的，需要家里开通有线信号或机顶盒业务，自动搜索或视频连接到电视视频端口，日常有服务需求，建议您通过海尔服务微信号或APP快速维修等版块提报服务需求。紧急情况可致电4006999999
海尔xQG70一1279脱水会移位，请问这个是什么问题？,"尊敬的用户您好，很抱歉给您添麻烦了，根据您描述的情况建议您看下洗衣机是否放平，或者衣服都挤到一边导致内桶有点偏心，由于不在现场无法鉴定具体原因，建议通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解答，或者直接致电4006-999-999，希望可以帮到您！
"
为什么排水管放下洗衣机洗衣服这边的水都流没有了？,你好非常抱歉给您添麻烦了，这种情况属于排水阀内掉入异物导致，具体请通过海尔服务报修由服务人员上门检测，谢谢
热水器预约洗，还没开始洗温度怎么就越来越低呢？,您好，您是电热水器吗，电热水器加热到设定温度后，会自动进入保温状态，温度下降5度或10度后会再次启动加热至设定温度。
电视出现闪屏是怎么回事,您好:抱歉给您添麻烦了！请换个频道或信号源观察，仍无改善，建议您通过海尔服务微信号或APP快速维修等版块提报服务需求，紧急情况可致电4006999999
热水器第一次用是自动上水吗,您好，安装后第一次上满水后，电热水器持续处于满水状态，自动上水。第一次上水时打开进出水阀门，打开混合阀至热水端，开始上水，花洒连续出水时，说明内胆水满。
海尔热水器要提前一个小时通电才可以用吗,"加热时间，与初始温度和需求温度的温度差，功率，容积，有关。一般初始温度15度，设定温度75度，功率2000W，容积60L，约需要加热时间2.1小时，若3000W功率，约加热时间1.4小时
"
不小心把洗衣机胶皮圈出来一节 能修理吗？,尊敬的用户您好，很抱歉给您添麻烦了，根据您描述的情况建议通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解答，或者直接致电4006-999-999，希望可以帮到您！
我家买个海尔普通液晶电视，现在接机顶盒后画面模糊不清，怎么回事,"您好：抱歉给您添麻烦了！信号源设备信号不佳或使用连接线方式不对应会不清楚，日常有服务需求，建议您通过海尔服务微信号或APP快速维修等版块提报服务需求，紧急情况可致电4006999999
"
海尔统帅130的冰箱保鲜室不冷了怎么办,尊敬的用户您好！首先感谢您选择海尔产品，根据您反应的保鲜室不制冷问题，建议您将电源拔下重插一次，1小时后查看有无改善，如问题仍不得改善，建议您通过海尔服务微信服务号或APP报修，紧急情况可直接致电4006999999
热水器远程遥控,您好，根据您的描述无法确定什么问题，请详细描述。
脱水时声音太大.跟飞机起似的,"尊敬的用户您好！给您添麻烦了！根据您反映的问题可能是由于里面脱水的物件不均匀，出现了旋转不匀称，所以噪音大，建议重新调整一下物件，使之均匀，这样就会缩小声音了，由于不在现场无法准确判定或调试，建议您也可以通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解答，或者直接致电4006999999，希望可以帮到您！
"
我昨天刚装了ES50H一D3十的热水器感，感觉水不够热50升的水根本不够一人洗头和洗澡？？？然道买错了,"您好，热水器连续出温水量与进水温度，花洒流量，洗澡用水温度有关，50L热水器，加热至最高75度，若进水温度15度，花洒流量7L/min，洗澡用水温度40度，理论出温水时间17分钟。冬天一般进水温度会低于15度，时间会更短。若使用顶喷花洒一般会大于7L/min,这样出温水时间也会短。建议适当降低花洒流量，适当降低洗澡用水温度。"
电脑控制的冰箱，为什么冷藏室不制冷？到现在还是室温28°，设置了也没用,"尊敬的用户您好，给您添麻烦了，根据您描述的情况，冰箱显示的是当前冰箱里面的温度，并不是显示您设置好的温度，您可以过会再观察一下如果温度恢复到您设置的温度就没问题的，如果还是不能正常使用的话，由于不在现场无法鉴定具体原因，建议通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解答，或者直接致电4006-999-999，希望可以帮到您！
"
洗衣机洗洗完衣服，不能漂洗了,"  尊敬的用户您好！给您添麻烦了！请您检查一下是否排水管道堵住或者开启了防皱浸泡功能，由于不在现场，无法准确判定或调试，建议您 通过海尔服务微信服务号或APP报修，让专业人员给您调试或维修，紧急情况可直 接致电4006-999-999，希望可以帮到您！
"
请问我买了150升的空气能热水器，电脑版怎么上水的,您好，安装好第一上水后，正常使用内胆水持续处于满水状态，不需要单独上水。
什么售后服务？电话通了不是想着解决问题，先问发票……,没有服务好我们的用户，我们感到非常抱歉，不知道是哪一方面让您感到不满意，发票是我们家电维修的保障，建议您使用海尔的相关app如海尔优家，将家电发票进行上传，或者拍照留存。希望有机会能提供让您满意的服务！
刚买的滚筒洗衣机怎么漏水啊,你好非常抱歉给您添麻烦了，建议你通过海尔服务报修由服务人员上门检测具体漏水原因，谢谢
冰箱BCD一572WDPM压缩机工作时响声大，像哪儿松子,尊敬的用户您好！给您添麻烦了！根据您反馈的声音问题，由于不在现场，无法准确判定或调试，建议您通过海尔服务微信服务号或APP报修，让专业人员给您调试或维修，紧急情况可直接致电4006999999
双动力洗衣机转动时听到电机卡嗒卡嗒响这是正常的吗？这种洗衣机能否单独漂洗脱水？,尊敬的用户您好，给您添麻烦了，根据您描述的洗衣液噪音大的情况，由于不在现场无法鉴定具体原因，建议通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解答，如果控制面板上有单独脱水程序的话就是可以的，紧急情况直接致电4006-999-999，希望可以帮到您！
1:我家洗衣机脱水时非常响，2:有时候时间显示屏不显示，3:我家洗衣机是海尔的工作人员安装的,你好非常抱歉给您添麻烦了，导致此问题有很多种原因，请通过海尔服务报修由当地售后服务人员上门检测处理，谢谢
海尔柜机空调出风板掉下来了,"您好，请通过首页一键维修进行报修，或拨打4006999999我们会安排专业的服务人员上门服务，谢谢。
"
洗完衣服用拔电源擦头吧,最好拔掉，谢谢
透孔销如何使用,尊敬的用户您好，您没有说明您具体是遇到了什么问题噢，如您遇到了您自己处理不了的问题可通过海尔服务微信服务号或APP报修，紧急情况可致电海尔全国售后服务热线4006-999-999咨询，希望我的回答能够帮到您o(∩_∩)o…
绑定账号转移到海尔帐号，隔天就无法登陆。,尊敬的用户您好，给您添麻烦了，根据您描述的情况建议您检查一下网络是否稳定，由于不在现场无法鉴定具体原因，建议通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解答，或者直接致电4006-999-999，希望可以帮到您！
我家的冰箱没有来电的琴音声了怎末回事？以前停电来电后声音好听最近没有了？,尊敬的用户您好！给您添麻烦了！根据您反馈的问题，由于不在现场，无法准确判定或调试，建议您通过海尔服务微信服务号或APP报修，让专业人员给您调试或维修，紧急情况可直接致电4006999999
燃气热水器漏水什么原因,您好！很抱歉给您添麻烦了！请通过海尔服务微信公众号或APP提报服务，让专业的维修人员上门排除故障，紧急情况可致电4006999999.
今天刚买的全自动滚筒洗衣机，洗了一次滚筒不转了，这是海尔吗？这是中国企业吗？这家企业还有良心吗？,你好非常抱歉给您添麻烦了，导致此问题有很多种原因，请尽快通过海尔服务报修或拨打4006999999由当地售后服务人员上门检测处理，谢谢
排水管排水量标准,尊敬的用户您好，给您添麻烦了，由于不知道您的具体型号，建议您参考说明书看一下，或者直接致电4006-999-999，希望可以帮到您！
老不停机原因在那。,尊敬的用户您好！给您添麻烦了！请您留意一下是否是在放置大量物品是才会出现这种情况，还是声音一直持续不间断，当在变频冰箱内置放大量物品时，冰箱需要大量制冷，此时冰箱以高频运转，此时的压缩机运转声音比较大；2）当冰箱置放物品比较稳定，冰箱制冷处于正常的维持状态，此时冰箱以低频运转，此时冰箱压缩机运转噪音一般比较小。由于不在现场，无法准确判定或调试，建议您通过海尔服务微信服务号或APP报修，让专业人员给您调试或维修，紧急情况可直接致电4006999999，希望可以帮到您！
刚买的洗衣机为什么不自动加洗衣液,您好，给您造成麻烦深感抱歉，首先机器要有自动投放功能，其次必须在操作界面上选择这个功能，具体请微信报修让服务人员上门检查，谢谢
海尔热水器抑菌功能怎样用,您好，带有抑菌功能的热水器，当需要抑菌时会有指示灯提醒，此时按一次抑菌键，热水器会执行一次高温杀菌，此过程不能设定温度。
